asn_name,avg_response_time_seconds,domains_hosted,count
AS135214 Spider Broadband Pvt. Ltd.,64020,-1,6
AS5645 TEKSAVVY,1308240,5685,6
AS201224 Tikhomirov Evgeny Viktorovich,240420,"ASN
AS201224    3
AS201224    3
Name: domains, dtype: int64",6
AS6866 Cyprus Telecommunications Authority,5710140,2950,6
AS269264 AJNS PROVEDOR DE INTENRET LTDA,31020,1,6
AS262254 DDOS-GUARD CORP.,192180,15122,6
AS268225 MegaNet Telecom,76440,-1,6
AS17676 Softbank BB Corp.,1129380,6296,6
AS202984 Chernyshov Aleksandr Aleksandrovich,1136940,16464,6
AS8473 Bahnhof AB,2770680,32272,6
AS12714 Net By Net Holding LLC,4356420,2943,6
AS11492 CABLEONE,1733160,2291,5
"AS25406 Splius, Uab",5644560,138,5
AS264182 Silicom Planejamento Tec. e Informatica Ltda,1315080,794,5
AS263955 ANTONIO FERNANDO DE SOUZA CASAS - ME,15840,1,5
AS9123 TimeWeb Ltd.,641460,459829,5
"AS49352 Domain names registrar REG.RU, Ltd",177240,24957,5
AS1659 Taiwan Academic Network (TANet) Information Center,2193120,1769,5
"AS131597 New Changhua Digital Cable TV CO,.Ltd",22023000,3,5
AS137667 Super Sonic Internet Pvt Ltd,178620,-1,5
AS3339 Tele Elda SA,1058880,53,5
AS8369 Intersvyaz-2 JSC,1185240,526,5
AS263469 J P de Souza Telecomunicacoes EPP,1860,2,5
AS136665 Ell Innovations Pvt Ltd,1800,"ASN
AS136665    1
AS136665    1
AS136665    1
AS136665    1
Name: domains, dtype: int64",5
AS9830 SWIFT ONLINE BORDER AS,706380,52,5
AS47524 Turksat Uydu Haberlesme ve Kablo TV Isletme A.S.,9012840,541,5
AS47956 XFone 018 Ltd,22375380,129,5
AS16232 Telecom Italia,884040,42,5
AS64439 IT Outsourcing LLC,660180,1274,5
AS136719 Anushree Digital Network Pvt Ltd,60180,-1,5
AS263500 Star Telecom S/A,129720,5,5
AS9269 Hong Kong Broadband Network Ltd.,2845920,35134,5
AS137615 Aonedpn Communications Pvt. Ltd.,63420,-1,5
AS9845 LG HelloVision Corp.,2085840,18,5
AS24163 UNION BROADBAND NETWORK,5106300,54,5
AS12353 Vodafone Portugal - Communicacoes Pessoais S.A.,1222080,4367,5
AS6327 SHAW,1880880,18165,5
AS34959 Kviktel LLC,237660,"ASN
AS34959    16
AS34959    16
Name: domains, dtype: int64",5
AS262822 WE RADIO COMUNICACOES LTDA EPP,3840,3,5
AS21501 Host Europe GmbH,2512920,461126,5
AS36994 Vodacom-VB,45900,2875,5
AS5432 Proximus NV,3908460,17529,5
AS2119 Telenor Norge AS,317400,16461,5
AS267223 INFORTECH TELECOMUNICACAO EIRELI - ME,13440,1,5
AS11351 TWC-11351-NORTHEAST,4462920,8547,5
AS22709 NSTELCO,1290240,376,5
AS138296 Juweriyah Networks Private Limited,260700,12,5
AS20845 DIGI Tavkozlesi es Szolgaltato Kft.,876300,18658,5
AS52766 Printnet telecomunicacoes,68220,-1,5
AS135789 Denet Connect Services Pvt Ltd,234960,-1,5
AS41853 Limited Liability Company NTCOM,64620,633,5
AS39074 Sepanta Communication Development Co. Ltd,207420,183,5
"AS38365 Beijing Baidu Netcom Science and Technology Co., Ltd.",3063060,126753,5
AS12552 IP-Only Networks AB,574260,50908,5
AS52426 I-SUR WISP S.R.L.,75900,-1,5
AS137872 China Mobile Hong Kong Company Limited,56460,35,5
AS131285 CHINATELECOM Hubei province Shengji 5G network,-1,5,5
AS21351 Canal + Telecom SAS,-1,252,4
AS269335 SUPORT TELECOM LTDA,5820,-1,4
AS202940 ITC NG ltd,897000,86,4
AS200436 Patron Technology Persia Ltd,875220,1049,4
AS262899 RT NICOLAU TELECOMUNICACAO - ME,34680,-1,4
AS267251 TELEFONARNET TELECOMUNICACOES,11220,-1,4
AS264490 ANDRA TELECOM,86160,-1,4
AS18390 Spin Internet Service,310560,560,4
AS268662 POWER FIBRA TELECOM,-1,-1,4
AS137093 Arjun Infotech,64380,-1,4
AS267495 Brasil Central Telecomunicacao,3000,-1,4
AS18875 QZN-ASN-001,39060,12,4
AS197328 Istanbuldc Veri Merkezi Ltd Sti,900900,17319,4
"AS21283 A1 Slovenija telekomunikacijske storitve,d.d.",261060,1661,4
AS17421 Mobile Business Group,50280,27,4
AS140317 CHINATELECOM Guangdong province Shaoguan 5G network,-1,-1,4
"AS21211 Penkiu kontinentu komunikaciju centras, Ltd.",1305360,384,4
AS266298 MWA INTERNET. COM LTDA - ME,36960,-1,4
AS139728 Planet Three Communication,55080,5,4
AS25019 Saudi Telecom Company JSC,149220,1311,4
AS17577 LG HelloVision Corp.,1027680,"ASN
AS17577    3
AS17577    3
Name: domains, dtype: int64",4
AS23033 WOW,1695360,16828,4
"AS17849 Tbroad Ginam Broadcating Co., Ltd.",8266740,25,4
AS205110 Next-tv Shpk,130020,-1,4
AS200970 Riepert Informationstechnologie OG,536460,99,4
AS24139 Huashu media&Network Limited,92940,406,4
AS263487 Giganet Comunicacoes Multimidia Ltda,293100,-1,4
AS17621 China Unicom Shanghai network,4314720,8158,4
AS15557 SFR SA,1959600,16308,4
AS29238 Nisatel LTD,246840,17,4
AS22646 HARCOM1,3266220,271,4
AS138730 Sns Internet Services Private Limited,5880,23,4
AS2715 Fundacao Carlos Chagas Filho de Amparo a Pesquisa,817620,159,4
AS24936 LLC Management Company Svyaz,137820,879,4
AS15435 DELTA Fiber Nederland B.V.,2459760,1914,4
AS18313 LG HelloVision Corp.,668880,19,4
AS200698 Globalhost d.o.o.,322920,5966,4
AS138800 Peer Networks Private Limited,2160,-1,4
AS21559 OSNET,179760,40,4
AS23860 Alliance Broadband Services Pvt. Ltd.,74580,259,4
AS135735 Vilite Multimedia Private Limited,5838000,2,4
AS6877 PJSC Ukrtelecom,-1,12,4
"AS6503 Axtel, S.A.B. de C.V.",4017300,3133,4
AS9304 HGC Global Communications Limited,2205960,14630,4
AS135782 Nyak Technologies And Teleservices Pvt Ltd,84480,-1,4
AS135718 DISHAWAVES INFONET PVT. LTD,6570000,21,4
AS8612 Tiscali SpA,2466300,16290,4
AS38457 Honesty Net Solution (I) Pvt Ltd,51540,31,4
AS38553 Internet Service Provider and Data Center,988560,41,4
"AS41877 Railway Telecom, Ltd",549240,60,4
AS134905 iGEN Networks Pvt Ltd,-1,-1,4
AS11426 TWC-11426-CAROLINAS,18211980,8389,4
AS43205 Bulsatcom EAD,8487240,508,4
AS6799 OTEnet S.A.,5283240,5832,4
AS45595 Pakistan Telecom Company Limited,3821700,373,4
AS45820 Tata Teleservices ISP AS,2773500,2141,4
AS45960 YTL COMMUNICATIONS SDN BHD,627060,155,4
AS133296 Web Werks India Pvt. Ltd.,3866940,54353,4
AS35346 Sc Itns.net Srl,8700,3,4
AS13306 Unics EOOD,1062060,121,4
AS49037 Mikhail Mayorov,189060,373,4
AS51375 Stc Bahrain B.s.c Closed,10245060,64,4
AS52173 Sia Nano IT,28980,995,4
AS131591 Ambit Microsystem Corporation,62820,3,4
"AS61272 Informacines sistemos ir technologijos, UAB",134760,7609,4
AS53755 IOFLOOD,1097400,209914,4
AS5438 Agence Tunisienne d'Internet,132180,170,4
AS6079 RCN-AS,5748660,3410,4
AS56783 ConnectIT Marcin Hajka,1860,5,4
AS60455 abc Ucranian-franch Joint Venture,31970280,124,4
AS59729 ITL LLC,170400,45489,4
AS5769 VIDEOTRON,3475620,12721,4
AS59711 HZ Hosting Ltd,49680,865,4
AS9441 Next Online Limited.,7917900,87,4
AS58967 RSBS ONLINE SERVICES PRIVATE LIMITED,190620,-1,4
AS33070 RMH-14,1937820,353755,4
AS9676 SaveCom Internation Inc.,15459480,1325,4
AS136654 Krishna Broadband,21300,1,4
AS9770 LG HelloVision Corp.,8613600,24,4
AS137655 Angel Air Network Solutions Pvt. Ltd.,2040,4,3
AS45543 SaiGon Tourist cable Televition Company,2884260,142,3
AS265059 TV CABO SAO PAULO LTDA,6900,-1,3
"AS45582 VAINAVI INDUSTIES LTD, INTERNET SERVICE PROVIDER, INDIA",784980,28,3
AS46606 UNIFIEDLAYER-AS-1,1310400,7739830,3
AS133684 Sun Broadband And Data Services Pvt Ltd,2580,-1,3
AS136946 Weebo networks Pvt Ltd,45240,7,3
AS263099 STIW Sistema de Telecom. Inf e Wireless LTDA,19920,1,3
AS64050 BGPNET Global ASN,895200,1123297,3
AS31214 TIS Dialog LLC,259800,136,3
AS12322 Free SAS,4396320,64816,3
AS48309 Ariana Gostar Spadana (PJSC),3004920,328,3
AS63473 HOSTHATCH,7890840,3966,3
AS12357 Vodafone Spain,4150620,2086,3
AS45302 PT DES Teknologi Informasi,14237760,186,3
AS265409 RNET SERVICOS DE INTERNET LTDA,105840,-1,3
AS45194 Syscon Infoway Pvt. Ltd.,2447640,198,3
AS45057 CHINA TIETONG SHANGHAI,251640,60,3
AS134928 Spiderlink Networks Pvt Ltd,72720,16,3
AS134908 IKON BROADBAND PRIVATE LIMITED,127680,3,3
AS41822 MTS PJSC,13860,27,3
AS29518 Bredband2 AB,4189920,4798,3
AS200845 Avatel & Wikiker Telecom S.L.,19440,70,3
AS8014 BATELNET,38520,69,3
AS267413 C B DA SILVA TELECOMUNICACOES - ME,24060,-1,3
AS7738 Telemar Norte Leste S.A.,9118680,1401,3
AS134599 Digital Dot Net (DDN),2640,-1,3
AS201206 Droptop GmbH,80340,13317,3
AS266989 ETH ENTERPRISE TECNOLOGIA LTDA,11940,"ASN
AS266989    16
AS266989    16
Name: domains, dtype: int64",3
AS134341 jdm broadband services pvt ltd,226560,20,3
AS134042 MAHA Mediacom LLP,-1,"ASN
AS134042    3
AS134042    3
Name: domains, dtype: int64",3
AS134021 Airgenie Communications Private Limited,80340,205,3
AS134004 Foxtel Telecommunications Pvt. Ltd.,8880,5,3
AS262506 ASERNET TELECOM,32700,-1,3
AS50013 Multicomp Ltd.,-1,8,3
AS20057 ATT-MOBILITY-LLC-AS20057,-1,221,3
AS61047 KALANDA,-1,3788,3
AS5391 Hrvatski Telekom d.d.,606960,5921,3
AS3209 Vodafone GmbH,72360,50264,3
AS55577 Atria Convergence Technologies pvt ltd,8940,133,3
AS17854 Tbroad jeonju broadcast,5257140,24,3
AS55720 Gigabit Hosting Sdn Bhd,4345980,221094,3
AS56040 China Mobile communications corporation,2201940,8106,3
AS12578 SIA Tet,1978980,5193,3
AS60567 DataClub S.A.,173100,89,3
AS57271 BitWeb LLC,29940,724,3
AS21017 Rostelecom,52920,143,3
AS137117 AIRWAVES INTERNET,909120,-1,3
AS31252 StarNet Solutii SRL,882660,1169,3
AS12735 TurkNet Iletisim Hizmetleri A.S.,1070580,2746,3
AS57971 Mediasvyaz Ltd.,254400,7,3
AS59504 Vpsville LLC,18720,7013,3
AS52768 ALSOL Provedor de Internet Ltda.,4200,2,3
AS22884 TOTAL PLAY TELECOMUNICACIONES SA DE CV,1854960,2757,3
AS50113 NTX Technologies s.r.o.,82080,61995,3
AS23201 Telecel S.A.,5036160,1848,3
AS50115 TOV Lekol,2954100,47,3
AS25274 Naracom Kft.,7337880,40,3
AS132960 Mukand Infotel Pvt Ltd.,148080,-1,3
AS2519 ARTERIA Networks Corporation,567360,289035,3
AS132879 Rajabhat Mahasarakham University,831060,-1,3
AS25144 Telekomunikacije Republike Srpske akcionarsko drustvo Banja Luka,27420,755,3
AS132568 Infinet Communictions,20760,-1,3
"AS132203 Tencent Building, Kejizhongyi Avenue",2115360,575993,3
AS24444 Shandong Mobile Communication Company Limited,26463900,10215,3
AS61888 GFT COMERCIO DE TELEFONIA E COMUNICACAO LTDA,52200,19,3
AS61317 Digital Energy Technologies Ltd.,1433160,107583,3
AS52228 Cable Tica,1289520,105,3
AS32097 WII,1980840,245539,3
AS23888 National Telecommunication Corporation HQ,12000,78,3
AS23858 xTom,-1,68,3
AS8400 TELEKOM SRBIJA a.d.,2304840,3501,3
AS12133 LISCO,63540,216,3
AS269055 Otacilio Gomes De Morais EIRELI,4620,-1,3
"AS2860 Nos Comunicacoes, S.A.",850320,8296,3
AS36914 Kenya Education Network,3686520,313,3
AS9506 Singtel Fibre Broadband,7001880,557,3
AS198102 Xstream Srl,23340,32,3
AS138260 Shirsty Internet Services Pvt Ltd,50580,-1,3
AS11232 MIDCO-NET,944820,2853,3
AS38283 CHINANET SiChuan Telecom Internet Data Center,5599380,123496,3
AS3816 COLOMBIA TELECOMUNICACIONES S.A. ESP,7229940,694,3
AS19711 SWAZINET,640740,490,3
AS27887 WIND Telecom S.A.,54240,187,3
AS9105 TalkTalk,349620,3347,3
AS37069 MOBINIL,1087920,43,3
AS9038 Batelco Jordan,14005440,288,3
AS3737 AS-PTD,2943240,2072,3
AS37611 Afrihost,2499660,288018,3
AS8953 Orange Romania S.A.,4979700,527,3
AS138754 Kerala Vision Broad Band Private Limited,94020,5,3
AS8972 Host Europe GmbH,1106340,1313763,3
AS8448 Telenor Hungary plc,513960,1211,3
AS138743 Dolphin Logic System Private Limited,6356580,8,3
AS135850 Net Sathi Networks Pvt. Ltd,92520,-1,3
AS39308 Andishe Sabz Khazar Co. P.j.s.,3849660,127,3
AS28885 Oman Telecommunications Company (S.A.O.G),7320,354,3
AS35699 Adamo Telecom Iberia S.A.,138300,804,3
AS35916 MULTA-ASN1,2398440,6861724,2
AS27964 RSONet,62820,31,2
AS135754 Golden Tiger Telecom Pvt Ltd,183000,-1,2
AS210228 Web Hosted Group Ltd,95400,51,2
AS12810 A1 Hrvatska d.o.o.,1137720,660,2
AS9145 EWE-Tel GmbH,9680880,13729,2
AS50463 Triple C Cloud Computing Ltd.,6029700,3209,2
AS12586 GHOSTnet GmbH,174240,22402,2
"AS2514 NTT PC Communications, Inc.",434760,98473,2
AS25620 COTAS LTDA.,11497740,547,2
AS2510 FUJITSU LIMITED,205380,10686,2
AS50477 Svyaz-Energo Ltd.,-1,94,2
AS1241 Forthnet,448560,3521,2
AS2497 Internet Initiative Japan Inc.,718920,21661,2
AS60203 Innovaciones Tecnlogicas del Sur S.L.,4088700,172,2
AS50923 Metroset,10334340,131,2
AS51132 Arkaden Konsult AB,122040,67,2
AS138293 Spacetrade Internet Pvt Ltd,932220,19,2
AS25513 PJSC Moscow city telephone network,7688220,4986,2
AS62729 ASMALLORANGE1,2269140,323495,2
AS49981 WorldStream B.V.,2256060,60661,2
AS35706 Net at Once Sweden AB,5412660,1654,2
AS18001 Dialog Axiata PLC.,348600,1041,2
AS30779 TRK Cable TV LLC,150960,9,2
AS2905 TICSA-ASN,-1,-1,2
AS262669 KONNET TELECOMUNICACOES LTDA - EPP,181680,8,2
AS27695 EDATEL S.A. E.S.P,12910800,18,2
AS20485 Joint Stock Company TransTeleCom,6913380,917,2
AS136349 Rainbow Internet Teleservices Private Limited,439980,5,2
AS17139 NETRANGE,2768580,115079,2
AS35612 EOLO S.p.A.,7922940,1325,2
AS48861 Apaga Technologies CJSC,2940,7,2
AS31863 DACEN-2,2346420,64527,2
AS37430 vdctelecom,46980,1,2
AS9781 GREEN CABLE TELEVISION STATION,10059660,-1,2
AS262401 GSTN DO BRASIL LTDA,20760,23,2
AS204997 NTX Technologies s.r.o.,4800,7905,2
AS49749 VostokMediaSvyaz Ltd.,675180,45,2
AS49821 Elektrika Ltd,905820,64,2
AS137132 High Speed Broadband,330060,1,2
AS24835 RAYA Telecom - Egypt,634680,891,2
AS55699 PT. Cemerlang Multimedia,78240,74,2
AS22489 ZCOLO-SAN01,16440,18358,2
AS52686 F.J.FANTINI AMPARO ME,6378840,12,2
AS22927 Telefonica de Argentina,125220,463,2
AS197897 5KOM OOD,21510840,13,2
AS135808 Fiberzone Communications Pvt Ltd,150540,-1,2
AS52786 BrByte Telecom,1680,"ASN
AS52786    1
AS52786    1
Name: domains, dtype: int64",2
AS17622 China Unicom Guangzhou network,4983960,12373,2
AS53006 ALGAR TELECOM S/A,1963860,48,2
AS137143 Minnal Digital Network Private Limited,9480,-1,2
AS56089 OFFRATEL,14280,512,2
"AS9930 TIME dotCom Berhad No. 14, Jalan Majistret U1/26 Hicom Glenmarie Industrial Park 40150 Shah A",167400,1236,2
AS5394 UNIDATA S.p.A.,63360,1265,2
AS54198 VIANET,32580,289,2
AS9583 Sify Limited,667020,2375,2
AS21826 Corporacion Telemic C.A.,25260,72,2
AS135815 Netrexo Communications Private Limited,141420,-1,2
AS10036 DLIVE,10008600,5008,2
AS13124 A1 Bulgaria EAD,4869900,530,2
AS56030 Voyager Internet Ltd.,43560,56150,2
AS60721 Bursabil Teknoloji A.S.,727320,9900,2
AS23314 ORLANDOTELCO,20877240,317,2
AS23404 RITTERNET,1016040,3678,2
AS61053 UAB ESNET,234540,1489,2
AS17511 OPTAGE Inc.,2691960,12691,2
AS51407 Mada ALArab LTD,6420,519,2
AS206067 Three,-1,160,2
"AS18429 Extra-Lan Technologies Co., LTD",12918600,76,2
AS137635 J.sky Media Pvt.ltd.,379860,-1,2
AS51731 GTT a.s.,1476000,4172,2
AS31042 Serbia BroadBand-Srpske Kablovske mreze d.o.o.,2791920,18712,2
"AS132100 Myanmar Speed Net Co.,Ltd",11100,7,2
AS39501 Parvaresh Dadeha Co. Private Joint Stock,2251260,99,2
AS13174 MTS PJSC,3694740,23,2
"AS131627 Peicity Digital Cable Television., LTD",4669020,64,2
AS30936 RENET COM Ltd.,125520,172,2
AS36997 INFOCOM,5521620,26,2
AS17857 T Broad,5038680,-1,2
AS135826 Syntego Technologies India Private Limited,77940,3,2
AS31012 A1 Hrvatska d.o.o.,150120,150,2
AS36925 ASMedi,166740,369,2
AS199096 CJSC Digital network Logos,11520,8,2
AS133398 Tele Asia Limited,640680,1202,2
AS48282 Hosting technology LTD,438180,63154,2
"AS14178 Megacable Comunicaciones de Mexico, S.A. de C.V.",1171260,2538,2
AS38845 Fu Jen Catholic University,-1,13,2
AS42560 Telemach d.o.o. Sarajevo,4155840,206,2
AS7623 Gyeongbuk Cable TV,1703280,17,2
AS42863 Servicos De Comunicacoes E Multimedia S.A.,18660,19,2
AS269705 Jms Telecom,34260,"ASN
AS269705    1
AS269705    1
Name: domains, dtype: int64",2
AS267188 Net Info Informatica Ltda,1980,-1,2
AS139735 PACE IT,12360,-1,2
AS197049 Internet Serwis Wojciech Bandurowski,157860,-1,2
AS267033 serrasul telecom ltda,93420,-1,2
AS7482 Asia Pacific On-line Service Inc.,6576660,2237,2
AS267005 WEB LINK DIGITAL EIRELI - ME,4020,-1,2
AS38710 Worldcall Broadband Limited,44340,16,2
AS11664 Techtel LMDS Comunicaciones Interactivas S.A.,10728540,871,2
AS11272 TELEPAK-NETWORKS-INC,3570060,672,2
AS11816 SetarNet,625080,250,2
AS266546 TWF NET PROVEDOR DE INTERNET EIRELI- ME,-1,7,2
AS43434 Contact TV Inc.,143100,7,2
AS15419 SC Lithuanian Radio and TV Center,25560,214,2
AS43513 Sia Nano IT,2811120,18582,2
AS266313 LESTETRONICS ME,-1,44,2
"AS12334 R Cable y Telecable Telecomunicaciones, S.A.U.",2024880,5808,2
AS134875 ZPOINT KOTA,57420,"ASN
AS134875    1
AS134875    1
Name: domains, dtype: int64",2
AS42334 Broadband Plus S.a.l.,1020,35,2
AS59162 U.P. COMMUNICATION SERVICES PVT LTD,6960,19,2
AS7782 ALSK-7782,513360,446,2
AS395092 SHOCK-1,11271840,10225,2
AS135201 siddhbali infotech pvt ltd.,16620,-1,2
AS268625 NETFAST TELECOMUNICACOES E MULTIMIDIA LTDA,60300,1,2
AS8402 PVimpelCom,5529240,6163,2
AS398019 DYNU,47700,782,2
AS269237 CarandaiNet Servicos de Internet Ltda.,12360,5,2
AS135171 Balaji Infra Ray Private Limited,4380,-1,2
AS140166 Rythym Broadband Pvt Ltd,23400,-1,2
AS134933 Webline Broadband Pvt Ltd,4020,5,2
AS135253 Mft Internet Private Limited,2520,25,2
AS41302 KVS Ltd,8640,48,2
AS41733 Perspectiva Ltd.,17374920,873,2
AS269267 Wilson Barbosa Comunicacoes ME,1920,-1,2
AS269318 Silva Poltronieri e Poltronieri LTDA,15960,-1,2
AS269587 OMEGA PROVEDOR E SERVICOS DE INTERNET EIRELI-ME,250560,-1,2
AS34577 SKAT TV Ltd.,16400520,17,2
AS137153 Optisky Fibernet Private Limited,443580,-1,2
AS38851 TNET Communication Inc.,3846420,12,2
AS134884 ARICHWAL IT SERVICES PRIVATE LIMITED,3360,1,2
AS267647 RODOLFO TREVIZAM FERMINO DE OLIVEIRA - EPP,-1,-1,2
AS42298 Ooredoo Q.S.C.,567000,211,2
AS134316 World Star Communication,160140,11,2
AS48212 MTS PJSC,1012800,24,2
AS44034 Hi3G Access AB,482880,809,2
AS15802 Emirates Integrated Telecommunications Company PJSC (EITC-DU),2526120,1862,2
AS270828 FULL NET,1740,-1,2
AS16322 Pars Online PJS,11765400,9890,2
AS8581 University Of Ioannina,-1,45,2
AS270911 J. S. DE CASTRO BANDEIRA FORTE,239640,-1,2
AS30689 FLOW-NET,-1,204,2
AS12297 VEON Armenia CJSC,8759520,83,2
AS133854 X-press Technologies Limited.,201180,20,2
AS46261 QUICKPACKET,309240,261428,2
AS263634 TACNET TELECOM,-1,5,2
AS47995 Apple Technologies LLC,8880,510,2
AS133776 Quanzhou,4903920,7584,2
AS6536 CITYNET,346080,627,2
AS9694 Seokyung Cable Television Co.. Ltd.,4412700,37,2
AS10620 Telmex Colombia S.A.,14504700,981,2
AS4771 Spark New Zealand Trading Ltd.,51300,2584,2
AS64398 Nxtservers Srl,33060,480,2
AS37671 GLOBALNET-AS,147900,1003,2
AS4755 TATA Communications formerly VSNL is Leading ISP,4609860,10097,2
AS6724 Strato AG,454860,3755764,2
AS263006 Interone Telecom Ltda,8258400,70,2
AS9762 HYUNDAI COMMUNICATIONS NETWORK,135180,5125,2
AS266214 UTIL PROVEDOR DE INTERNET LTDA - ME,1860,-1,2
AS134032 INFONET COMM ENTERPRISES,3420,22,2
AS6848 Telenet BVBA,3810120,24247,2
AS44395 Ucom LLC,10412640,570,2
AS48146 Triple A Fibra S.L.,2049120,65,2
AS34602 Megasvyaz LLC,128460,368,2
AS12301 Invitech ICT Services Kft.,2548980,58448,2
AS270366 Jean Franck Ximenes,1800,-1,2
AS11081 United Telecommunication Services (UTS),4069980,233,2
AS4804 Microplex PTY LTD,5351040,1467,2
"AS136188 NINGBO, ZHEJIANG Province, P.R.China.",4981140,22265,2
AS15774 Joint Stock Company TransTeleCom,5581740,885,2
AS270668 JULIO CESAR BERNARDELI OLIVEIRA 71218513187,1440,-1,2
AS4750 CS LOXINFO PUBLIC COMPANY LIMITED,2676180,69433,2
AS17845 Gyeonggi Technopark,-1,185,1
AS12310 iNES GROUP SRL,3907560,3272,1
AS1136 KPN B.V.,3118740,24363,1
AS10103 HK Broadband Network Ltd.,168840,31475,1
AS10094 Unified National Networks,2573520,2227,1
AS18033 CMB TAEGU BROADCASTING,-1,-1,1
AS12576 EE Limited,3638580,1130,1
AS12177 ETS-TELEPHONE-COMPANY,122520,-1,1
AS10143 Exetel Pty Ltd,441420,4304,1
AS18103 Neuviz Net,1618260,184,1
AS18419 DaDa Broadband LTD.,16400040,105,1
AS18046 DongFong Technology Co. Ltd.,8509620,13195,1
AS17924 SmarTone Mobile Communications Ltd,26040,-1,1
AS10973 KALAMA,323520,63,1
AS10066 LG HelloVision Corp.,1557360,-1,1
AS12418 Quantum CJSC,5871780,363,1
AS1257 TELE2,3994440,73847,1
AS11976 FIDN,10117680,301,1
AS11845 Vox-Telecom,752160,10017,1
AS10392 NSB1-NET,13299060,-1,1
AS137085 Ani Broadband Service Pvt Ltd,23340,18,1
AS12683 Rostelecom,345180,367,1
AS139879 Galaxy Broadband,1320,-1,1
AS138482 SKYVIEW ONLINE LTD,40740,29,1
AS135686 Navyug Networks Info Private Limited,22560,9,1
AS13536 TVC-AS1,29400,970,1
AS135330 ADCDATA.COM,762960,2233,1
AS135257 DL GTPL Broadband Private Limited,7080,8,1
AS138997 Eons Data Communications Limited,12960,34,1
AS139521 Padmnet Broadband Service Pvt. Ltd.,-1,-1,1
AS139526 Revolution Broadband Pvt.ltd.,1200,-1,1
AS139718 Tornado Networks (Pvt.) Limited,158160,-1,1
AS135256 ONET DIGITAL NETWORKS PVT. LTD.,5580,-1,1
AS135232 IPNET COMMUNICATIONS,-1,1,1
AS15146 CABLEBAHAMAS,2729760,568,1
AS139900 RELIANCE CATV AND ENTERTAINMENT SERVICES,18540,-1,1
"AS13999 Mega Cable, S.A. de C.V.",9990480,1223,1
AS1403 EBOX,253860,1172,1
AS14051 SUREWEST,465000,1341,1
AS13490 BUCKEYECABLEVISION,-1,1014,1
AS13489 EPM Telecomunicaciones S.A. E.S.P.,9469800,5052,1
AS14117 Telefonica del Sur S.A.,11699580,1174,1
AS14615 ROCK-HILL-TELEPHONE,-1,656,1
AS134835 Starry Network Limited,164820,3063,1
AS14654 WAYPORT,-1,22,1
AS138316 Vinayaga Communications Pvt Ltd,91560,-1,1
AS138315 Countrylink Communiction Pvt Ltd,-1,-1,1
AS138298 A2j Data Services Pvt. Ltd.,-1,4,1
AS138292 Galaxy Digitech India Private Limited,29160,-1,1
AS137138 S A Internet Solution Pvt Ltd,1380,-1,1
AS137084 Sense Connect It Pvt Ltd,64080,1,1
AS136720 Airtechzone Services India Pvt Ltd,2880,"ASN
AS136720    1
AS136720    1
Name: domains, dtype: int64",1
AS137151 Greenworld Netcast Private Limited,1176180,3,1
AS137152 Ap Netcom Services,-1,-1,1
AS136643 Net-raj Technology Pvt Ltd Opc,113400,-1,1
AS137344 PT. TRANS NASIONAL TEKNOLOGI,1560,"ASN
AS137344    1
AS137344    1
Name: domains, dtype: int64",1
AS137604 Sahjanand Telecom Pvt Ltd,2890920,-1,1
AS136342 Winux Communications Pvt. Ltd.,40800,4,1
AS136336 Thamizhaga Internet Communications Private Limited,2700,21,1
AS136333 Jvg Communication Pvt Ltd,-1,-1,1
AS135874 Mlcinternet Pvt Ltd,78780,-1,1
AS135825 Pradeep Broadcast Private Ltd,6720,-1,1
AS137877 LIGHT CLOUD (HK) LIMITED,894480,3237,1
AS138195 MOACK.Co.LTD,449520,19132,1
AS138225 One Eight Technologies Private Limited,1320,-1,1
AS138236 ATS NETWORK,-1,-1,1
AS138245 Xpress Net Solution,-1,2,1
AS135796 Worldnet Internet And Service Provider Private Limited,16080,-1,1
AS138289 Smart Choice Wireless Network Pvt Ltd,9720,-1,1
AS138290 Unigro Infranet Online Pvt. Ltd.,271320,2,1
AS14988 BTC-GATE1,3292800,320,1
AS15377 ISP Fregat Ltd.,889320,122,1
AS12768 JSC ER-Telecom Holding,583920,620,1
AS131293 TOT Public Company Limited,-1,387,1
AS132839 POWER LINE DATACENTER,1173900,2936372,1
AS132752 skynet system,5760,"ASN
AS132752    3
AS132752    3
Name: domains, dtype: int64",1
AS13213 UK-2 Limited,1271760,239746,1
AS132116 Ani Network Pvt Ltd,7709160,56,1
AS17547 M1 NET LTD,1429860,4465,1
AS13188 Content Delivery Network Ltd,12423240,1298,1
AS17557 Pakistan Telecommunication Company Limited,12420,149,1
"AS131459 88c, Race Course Road, Coimbatore 641018",91440,13,1
AS131325 CHINATELECOM JIANGSU province NANTONG MAN network,33527160,3227,1
AS131299 tornado net private limited,11040,"ASN
AS131299    1
AS131299    1
AS131299    1
Name: domains, dtype: int64",1
AS17639 Converge ICT Solutions Inc.,13280160,342,1
AS134285 Andhra Bank,-1,"ASN
AS134285    3
AS134285    3
Name: domains, dtype: int64",1
AS131111 PT Mora Telematika Indonesia,2338500,633,1
AS13110 INEA S.A.,288900,1225,1
"AS131090 CAT TELECOM Public Company Ltd,CAT",458040,231,1
AS13000 Leon Sp. z o.o.,298680,356,1
AS12829 Angelsoft ET,-1,47,1
AS12824 home.pl S.A.,2360820,469560,1
